año,trimestre,provincia,hasta_512kbps,512_kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,30mbps_x,otras_velocidades,total_x,accesos_100_hogares,banda_ancha_fija,dial_up,total_y
2020,1,San Juan,48,194,59787,1594,1292,40,127,4779,67861,32.39,63975,256,64231
2020,1,San Luis,105,0,11322,4164,525,58258,5,36075,110454,76.31,110404,148,110552
2020,1,Santa Cruz,67,11,27447,4993,5169,529,119,0,38335,35.97,38625,197,38822
2020,1,Santa Fe,696,2994,217553,196826,10456,48448,173823,17656,762556,69.52,770981,137,771118
2020,1,Santiago Del Estero,133,1779,33086,56884,3737,135,2799,4501,103054,42.47,102754,1,102755
2020,1,Tierra Del Fuego,11,1,22976,5024,1834,196,518,7046,37606,76.07,38505,289,38794
2020,1,Tucumán,52,97,49555,50383,31096,173,67536,0,200449,47.85,200045,22,200067
2019,4,Buenos Aires,33489,27537,1177446,262297,247106,45257,1465133,20676,3686254,64.25,3681120,5134,3686254
2019,4,Capital Federal,307,15,177098,110218,110852,20581,753805,0,1358105,106.25,1356695,141,1358105
2019,4,Catamarca,63,0,9945,7619,9305,804,7477,3098,38311,36.44,3831,1,38311
2019,4,Chaco,83,0,25899,18959,30902,13516,21556,6988,117903,36.84,1179,3,117903
2019,4,Chubut,158,4,69405,12945,7615,124,614,4121,96102,51.15,95292,810,96102
2019,4,Córdoba,142,0,232781,118232,10933,114111,221742,1035,806688,70.48,806633,55,806688
2019,4,Corrientes,72,0,35055,2062,27367,9981,15744,4995,113834,38.77,113831,3,113834
2019,4,Entre Ríos,47,0,88203,44511,42962,18976,30153,14178,23903,57.99,239017,13,23903
2019,4,Formosa,1127,191,24606,6319,6788,1766,5671,243,46711,30.47,46711,0,46711
2019,4,Jujuy,55,0,3292,9632,26764,102,5286,14122,88881,45.38,88881,0,88881
2019,4,La Pampa,293,313,76747,69,1951,1287,1342,1566,90399,76.92,9028,119,90399
2019,4,La Rioja,21,0,37846,5045,4763,22,1305,0,49002,47.14,48999,3,49002
2019,4,Mendoza,746,9,145139,12955,15237,2165,2628,6901,18578,33.65,185157,623,18578
2019,4,Misiones,71,0,39664,2084,27305,15626,20799,11508,135813,39.79,135813,0,135813
2019,4,Neuquén,218,1,5737,4439,7357,12059,35001,0,116445,59.36,116069,376,116445
